kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040000545,HAYDAR SAĞLAM,null,00605,40.82206,29.377607,SAĞLAM GIDA VE ŞARKÜTERİ,0,ÖZGÜRLÜK MAH. UĞUR MUMCU CAD. NO:114 GEBZE/KOCAELİ
0040000546,HASAN DEMİR,null,00606,40.702639,30.02628,SİZİN MARKET,0,ARSLANBEY ATAKENT MAH. 138. ADA ÜZERİ  İZMİT/KOCAELİ
0040000548,AYNUR AYGÜN,null,00608,40.794685,29.978977,GÜNEŞ MARKET,0,YEŞİLOVA MAH. TURAN GÜNEŞ CAD. NO:588 İZMİT/ KOCAELİ
0040000553,LOKMAN ALTINTAŞ,null,00613,40.772713,29.954338,KUZENLER İLETİŞİM YENİ,0,YENİ ŞEHİR MAH. TURAN CAD. NO:264/A İZMİT/KOCAELİ
0040000557,SEZGİN KESİKBAŞ,null,00617,41.068385,30.147602,OTOGAR BÜFE,0,ÇARŞI MAH. NO:YOK  KANDIRA/KOCAELİ
0040000558,CEMİL AVCI,null,00618,40.764545,29.929372,PLAZA BÜFE,0,ÖMERAĞA MAH. BELSA PLAZA 5-6 BLOK NO:63 İZMİT/KOCAELİ
0040000569,HAKAN TATLI,null,00629,40.770038,29.757158,HAKAN MARKET,0,M.SİNAN MAH. GÜL SOKAK NO:25 KÖRFEZ/KOCAELİ
0040000573,MEHMET ESATULLAH AKTAŞ,null,00633,40.789609,29.373433,HEMMEŞE KURUYEMİŞ,0,O.GAZİ M.A.OĞLU CAD.NO:122 GEBZE/KOCAELİ
0040000581,CESUR SAVAŞ,null,00699,40.79815,29.440443,JOY TEKEL SHOP,0,YENİKENT MAH.ZEMİN KAT GALAKSİ AVM NO:15/H DERİNCE/KOCAELİ
0040000581,CESUR SAVAŞ,null,00641,40.771663,29.810341,JOY TEKEL SHOP,0,YENİKENT MAH.ZEMİN KAT GALAKSİ AVM NO:15/H DERİNCE/KOCAELİ
0040000584,YILDIRIM ARSLAN,null,00644,40.783894,29.631218,ASMAR MARKET,0,KIŞLADÜZÜ CAMLI NO:34 KÖRFEZ/KOCAELİ
0040000586,HÜSEYİN YILMAZ,null,02175,40.761445,29.797921,YILMAZ MARKET,0,KUZEY İRFAN CAD. NO:50  KÖRFEZ/KOCAELİ
0040000586,HÜSEYİN YILMAZ,null,00646,40.764797,29.800116,YILMAZ MARKET,0,KUZEY İRFAN CAD. NO:50  KÖRFEZ/KOCAELİ
0040000587,ERDEM BAŞARAN,null,00647,40.722057,29.793797,TURUVA MARKET,0,D.DERE YÜZBAŞILAR MAH.İSTİKLAL CAD. NO:84/A GÖLCÜK/KOCAELİ
0040000588,VEYSEL HOROZ,null,00649,40.767606,29.907464,KARDEŞLER GIDA,0,YENİDOĞAN ZABITAN MAH. N.KEMAL CAD. NO:2 İZMİT/KOCAELİ
0040000603,HÜSEYİN KAHYA,null,00665,40.773403,29.936332,KAHYA MARKET,0,TOPÇULAR MAH. NO:99/1 İZMİT/KOCAELİ
0040000605,HAVVA DEMİR,null,00667,40.786993,29.965367,EFE MARKET,0,YEŞİLOVA MAH. CESUR SOK. NO:35 İZMİT/KOCAELİ
0040000606,BAHADIR YAMAK,null,00668,40.762448,29.879826,BARIŞ MARKET,0,CUMHURİYET MAH. GÜLŞEN GÜLBAŞ SOK. NO:2B/6 İZMİT/KOCAELİ
0040000733,KAZIM ALTUN,null,00802,40.771532,29.965095,YENİŞEHİR MARKET,0,Ö.AĞA MAH. FETHİYE CAD. KARAGÖZ İŞHANI NO:42 İZMİT/KOCAELİ
0040000739,REYHAN KILIÇ,null,00808,40.775855,29.978464,DAMLA ŞARKÜTERİ,0,ALİKAHYA FATİH MAH. SEYMEN CAD. NO:57/B İZMİT/KOCAELİ
0040000744,SİNAN EROĞLU,null,00813,40.760071,29.949395,YAREN MARKET,0,KÖRFEZ MAH. Ş.BASRİ SOK. NO:8/A İZMİT/KOCAELİ
0040000748,ŞEHRİYE ERİM,null,00817,40.809243,29.401663,ÖZGÜR MARKET (TEDA MARKET),0,Y.SELİM MAH. GÜNDOĞAN CAD. NO:61 GEBZE/KOCAELİ
0040000777,AHMET TAŞDEMİR,null,00847,40.780238,29.521934,TAŞDEMİR MARKET,0,DİLİSKELESİ MAH. CUM.CAD. 716. SOK. NO:15/1 GEBZE/KOCAELİ
0040000794,HATİCE ASLAN,null,00866,40.773018,29.956634,ELİF PASTA BÖREK CAFE,0,BEKİRDERE MAH. TURAN GÜNEŞ CAD. NO:365 İZMİT/KOCAELİ
0040000829,ANIL BAYRAKTAR,null,00904,40.766536,30.013424,MODA MARKET,0,ALİKAHYA ATATÜRK MAH. GÜNEŞ SU CAD. NO:57 A İZMİT/KOCAELİ
