route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color,route_url
41080,78,80,KİPA AVM-PLAJ YOLU-TREN GARI-Y.KAPTAN-YUVAM AKARCA,3,Otobüs,1EA9BD,FFFFFF,
41081,17,81,BAYINDIRLIK-G.DOĞDU-ŞEHİR HAST-CUMHURİYET PARKI-TREN GARI,3,Otobüs,006633,FFFFFF,
41089,17,89,AKPINAR TOKİ-KURUÇEŞME-HALKEVİ-CUMHURİYET PARKI,3,Otobüs,006633,FFFFFF,
41059,17,59,TÜYSÜZLER-TREN GARI-EMNİYET-CUMHURİYET PARKI,3,Otobüs,006633,FFFFFF,
41071,17,71,BATI TERMİNALİ-HALKEVİ-DEVLET HAST.-B.DERE-TAVŞANTEPE,3,Otobüs,006633,FFFFFF,
41085,78,85,AKPINAR TOKİ-KURUÇEŞME-BAÇ-DOGU KIŞLA-D.BANKASI-UMUTTEPE,3,Otobüs,1EA9BD,FFFFFF,
41061,17,61,KULFALLI-AKPINAR-HATİPKÖY-KURUÇEŞME TRAMVAY,3,Otobüs,006633,FFFFFF,
41086,17,86,BATI TERMİNALİ-TREN GARI-DOĞUKIŞLA-YEŞİLOVA-ÇAYIRKÖY,3,Otobüs,006633,FFFFFF,
41092,17,92,ÇENESUYU- KURUÇEŞME- BEKİRDERE-BAYINDIRLIK,3,Otobüs,006633,FFFFFF,
41062,78,62,ARIZLI-AĞAKÖY-YENİDOĞAN-BİLİM MERKEZİ-BATI TERMİNALİ,3,Otobüs,1EA9BD,FFFFFF,
41090,78,90,BASIN SİTESİ-ŞİRİNTEPE-SANTRAL-CEZAEVİ-GIDA OSB-UMUT EVLER,3,Otobüs,1EA9BD,FFFFFF,
41065,78,65,BATI TERMİNALİ-BİLİM MERKEZİ-ORDU EVİ-ORKİDE SOKAK-SEKA DH.,3,Otobüs,1EA9BD,FFFFFF,
41074,17,74,RADAR-HALKEVİ -M.İRADE MEYDANI-GÜNEY TERMİNALİ,3,Otobüs,006633,FFFFFF,
41091,17,91,ŞAHİN TEPESİ-CUMHURİYET MAH.-PLAJYOLU TRAMVAY-DOĞU KIŞLA,3,Otobüs,006633,FFFFFF,
41088,17,88,DÜNYA BANKASI-TREN GARI,3,Otobüs,006633,FFFFFF,
41066,17,66,BATI TERMİNALİ-DOĞUKIŞLA-YEŞİLOVA-SEPETÇİ,3,Otobüs,006633,FFFFFF,
41069,17,69,İZMİT BATI TERMİNALİ-SARICALAR-SEKBANLI-KABAOĞLU,3,Otobüs,006633,FFFFFF,
41070,78,70,AKPINAR-KURUÇEŞME-D.KIŞLA-ŞEHİR HAST-BAYINDIRLK-UMUTTEPE,3,Otobüs,1EA9BD,FFFFFF,
41114,78,114,KÖRFEZKENT-KAŞKAL-DERİNCE-İZMİT-SANAYİ-GÜNEY TERMİNALİ,3,Otobüs,1EA9BD,FFFFFF,
41115,78,115,KÖRFEZKENT-SOPALI-DERİNCE-İZMİT-ÜÇYOL-UMUTTEPE,3,Otobüs,1EA9BD,FFFFFF,
41118,17,118,ÖĞRETMENLER-DERİNCE-HALKEVİ-SANTRAL-BEKİRDERE-OTOGAR(İŞOT),3,Otobüs,006633,FFFFFF,
41102,17,102,MERSİNCİK-YENİKENT-SOPALI,3,Otobüs,006633,FFFFFF,
41103,17,103,60 EVLER-SOPALI-YENİKENT-ÇINARLIKENT-ÇENESUYU-KİPA AVM,3,Otobüs,006633,FFFFFF,
41126,17,126,KÖRFEZKENT-SOPALI-DERİNCE-HALK EVİ-D.KIŞLA-Y.KAPTAN,3,Otobüs,006633,FFFFFF,
41094,17,94,F.SULTAN-ÇINARLIKENT-MERSİNCİK-K.ÇEŞME-EREN CAMİ-SANAYİ,3,Otobüs,006633,FFFFFF,
41133,17,133,YENİKENT-SOPALI HAST.-GÜLTEPE-ÜÇTEPELER-UMUTTEPE,3,Otobüs,006633,FFFFFF,
41104,17,104,KÖRFEZKENT-SOPALI HAST.-GÜNEY TERMİNALİ,3,Otobüs,006633,FFFFFF,
41124,78,124,KÖRFEZKENT-SOPALI-HALKEVİ-SANAYİ-GÜNEY TERMİNALİ,3,Otobüs,1EA9BD,FFFFFF,
